Lmao yes,Sad,1.0
shrey so bad,Sad,1.0
Someone make an emoji of this,Sad,1.0
The res is so bad lol,Sad,1.0
yes massa,Sad,1.0
ugh wardell,Sad,1.0
get something tactile like brown,Sad,1.0
playing val alone depression,Sad,0.5
its always been,Sad,1.0
hes gonna come to our houses and sell us weed,Sad,1.0
always high af,Sad,0.5
hriday getting emotional,Sad,1.0
yes,Sad,1.0
bro i got hacked on twitter,Sad,1.0
"i got hacked, told you like 5 times",Sad,1.0
sad,Sad,1.0
"ur an awkward autocrat, thats y",Sad,1.0
yes ^,Sad,1.0
they wont let him,Sad,1.0
jk ik i was late,Sad,1.0
u cant put gifs in gerneral,Sad,1.0
anime music is kinda bad ngl,Sad,1.0
shrey down bad,Sad,1.0
ok sorry you two,Sad,1.0
im losing brain cells,Sad,1.0
makes sense,Sad,1.0
coding is boring,Sad,1.0
@RamenTuber can you add explanations for your six series,Sad,1.0
wtf,Sad,1.0
sad,Sad,1.0
"samih, make one of me: where you guys keep changing my nickname, and i always change it back:)",Sad,1.0
ban,Sad,1.0
loser:),Sad,1.0
ur bad,Sad,1.0
shrey wtf do u have in euro?,Sad,1.0
bro my counselor didnt let me LOL,Sad,1.0
ur worse than me so it woudn't matter anyways:),Sad,1.0
horribly bad,Sad,0.5
the other one I did worse,Sad,1.0
"u can dm nathan alone, especially if its a private convo",Sad,0.5
na i dont unfortunately,Sad,1.0
lets go,Sad,1.0
wtf samih?,Sad,1.0
"ya ig ur right, workload is a lot",Sad,0.5
sad,Sad,1.0
how did u make that conclusion?,Sad,1.0
yes i remember,Sad,1.0
cuz he only knew me which was sad,Sad,1.0
wtf,Sad,1.0
im excited for college,Sad,0.5
trino based,Sad,1.0
"Hriday what does ur username mean, its hurting my brain",Sad,1.0
ya its cuz im based,Sad,1.0
wtf man,Sad,1.0
born and brought up,Sad,1.0
u still lost?,Sad,1.0
wtf,Sad,1.0
gone bad,Sad,0.5
sorry i cant,Sad,1.0
not good,Sad,1.0
wtf,Sad,1.0
"gobfellow, are you still banned on val?",Sad,1.0
color theme looks fire btw,Sad,1.0
@fatpacito do you wanna play val,Sad,0.5
i liked the gradient colors,Sad,1.0
"@pluto can we change awkward autocrats to ""The Lurkers""",Sad,1.0
ya im not thinking straight,Sad,1.0
sry tharun,Sad,1.0
too bad im not ðŸ³ï¸â€ðŸŒˆ,Sad,1.0
yes,Sad,1.0
we lurk,Sad,1.0
HOT,Sad,1.0
u always did,Sad,1.0
that tharun promised you,Sad,1.0
you will always be a Lurker:),Sad,1.0
wtf man,Sad,1.0
yes,Sad,1.0
ASAP rocky,Sad,1.0
when ur mom is banned,Sad,1.0
ur just gonna let that happen,Sad,1.0
i just want prime vandal so bad:(,Sad,0.5
bears united,Sad,1.0
he got it to change color theme,Sad,1.0
BLUE>>>,Sad,1.0
yes,Sad,1.0
guys we should make a gif for Hriday,Sad,1.0
"ya you buy the gun, then upgrade colors and animationms",Sad,1.0
this one looks sick,Sad,1.0
wtf nathan,Sad,1.0
wtf man,Sad,1.0
sad,Sad,1.0
sad,Sad,1.0
ur down bad:),Sad,1.0
wtf @Versailles,Sad,1.0
trino wtf is wrong with u,Sad,1.0
ur fkin disgusting trinidad,Sad,1.0
uh it kinda looks bad,Sad,1.0
I accidentally joined from my phone for some reason,Sad,1.0
sorry if that was offensive to u,Sad,1.0
they put the bot on me,Sad,1.0
k well its getting annoying,Sad,1.0
"no offense hriday, but tracy kinda wild for me",Sad,1.0
na hridays chill,Sad,1.0
i wouldn't know how to make one,Sad,0.67
YES,Sad,1.0
